"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"61","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","197","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"62","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","210","Parameter 'errorMessage' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"63","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","210","Parameter 'fieldName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"64","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","5","212","Found 'DD'-anomaly for variable 'error' (lines '212'-'216').","Controversial Rules","DataflowAnomalyAnalysis"
"65","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","3","227","Avoid variables with short names like st","Naming Rules","ShortVariable"
"66","com.bps.bo","src/com/bps/bo/CustomerRegistrationBO.java","2","232","System.out.print is used","Java Logging Rules","SystemPrintln"
"67","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"68","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","10","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"69","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","12","A method/constructor shouldn't explicitly throw java.lang.Exception","Strict Exception Rules","SignatureDeclareThrowsException"
"70","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","12","A method/constructor shouldn't explicitly throw java.lang.Exception","Strict Exception Rules","SignatureDeclareThrowsException"
"71","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","12","Parameter 'cId1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"72","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","5","14","Found 'DD'-anomaly for variable 'flag' (lines '14'-'17').","Controversial Rules","DataflowAnomalyAnalysis"
"73","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","21","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"74","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","23","The String literal 'Please enter a valid Customer Id' appears 4 times in this file; the first occurrence is on line 23","String and StringBuffer Rules","AvoidDuplicateLiterals"
"75","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","29","Parameter 'cId1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"76","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","30","A method/constructor shouldn't explicitly throw java.lang.Exception","Strict Exception Rules","SignatureDeclareThrowsException"
"77","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","30","A method/constructor shouldn't explicitly throw java.lang.Exception","Strict Exception Rules","SignatureDeclareThrowsException"
"78","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","33","Avoid variables with short names like to","Naming Rules","ShortVariable"
"79","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","33","Local variable 'to' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"80","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","38","Avoid variables with short names like to","Naming Rules","ShortVariable"
"81","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","38","Parameter 'to' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"82","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","5","42","Found 'DD'-anomaly for variable 'successflag' (lines '42'-'46').","Controversial Rules","DataflowAnomalyAnalysis"
"83","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","2","47","System.out.print is used","Java Logging Rules","SystemPrintln"
"84","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","48","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"85","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","60","New exception is thrown in catch block, original stack trace may be lost","Design Rules","PreserveStackTrace"
"86","com.bps.bo","src/com/bps/bo/CustomerUpdateBO.java","3","66","New exception is thrown in catch block, original stack trace may be lost","Design Rules","PreserveStackTrace"
"87","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","10","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"88","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","10","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"89","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","12","A method/constructor shouldn't explicitly throw java.lang.Exception","Strict Exception Rules","SignatureDeclareThrowsException"
"90","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","12","A method/constructor shouldn't explicitly throw java.lang.Exception","Strict Exception Rules","SignatureDeclareThrowsException"
"91","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","12","Parameter 'vId1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"92","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","5","14","Found 'DD'-anomaly for variable 'flag' (lines '14'-'16').","Controversial Rules","DataflowAnomalyAnalysis"
"93","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","17","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"94","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","19","The String literal 'Invalid Vendor Id' appears 4 times in this file; the first occurrence is on line 19","String and StringBuffer Rules","AvoidDuplicateLiterals"
"95","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","25","Parameter 'vId1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"96","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","26","A method/constructor shouldn't explicitly throw java.lang.Exception","Strict Exception Rules","SignatureDeclareThrowsException"
"97","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","26","A method/constructor shouldn't explicitly throw java.lang.Exception","Strict Exception Rules","SignatureDeclareThrowsException"
"98","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","29","Avoid variables with short names like to","Naming Rules","ShortVariable"
"99","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","29","Local variable 'to' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"100","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","34","Avoid variables with short names like to","Naming Rules","ShortVariable"
"101","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","34","Parameter 'to' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"102","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","5","38","Found 'DD'-anomaly for variable 'successflag' (lines '38'-'41').","Controversial Rules","DataflowAnomalyAnalysis"
"103","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","42","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"104","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","54","New exception is thrown in catch block, original stack trace may be lost","Design Rules","PreserveStackTrace"
"105","com.bps.bo","src/com/bps/bo/VendorUpdateBO.java","3","60","New exception is thrown in catch block, original stack trace may be lost","Design Rules","PreserveStackTrace"
"106","com.bps.constants","src/com/bps/constants/ErrorConstants.java","3","3","No need to import a type that lives in the same package","Import Statement Rules","ImportFromSamePackage"
"107","com.bps.constants","src/com/bps/constants/ErrorConstants.java","3","32","Avoid excessively long variable names like EMPTY_CUSTOMERNAME","Naming Rules","LongVariable"
"108","com.bps.constants","src/com/bps/constants/ErrorConstants.java","3","36","Avoid excessively long variable names like EMPTY_CONTACTNUMBER","Naming Rules","LongVariable"
"109","com.bps.constants","src/com/bps/constants/ErrorConstants.java","3","44","Avoid excessively long variable names like EMPTY_IDENTIFICATIONDOCUMENT","Naming Rules","LongVariable"
"110","com.bps.constants","src/com/bps/constants/ErrorConstants.java","3","46","Avoid excessively long variable names like EMPTY_DOCUMENTDETAILNUMBER","Naming Rules","LongVariable"
"111","com.bps.constants","src/com/bps/constants/ErrorConstants.java","3","48","Avoid excessively long variable names like EMPTY_REGISTRATIONDATE","Naming Rules","LongVariable"
"112","com.bps.constants","src/com/bps/constants/QueryConstants.java","3","3","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"113","com.bps.constants","src/com/bps/constants/QueryConstants.java","3","13","Avoid excessively long variable names like GET_IDENTIFICATIONDOCUMENT_NAME","Naming Rules","LongVariable"
"114","com.bps.constants","src/com/bps/constants/SuccessConstants.java","3","3","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"115","com.bps.controller","src/com/bps/controller/AdminLoginController.java","4","13","Avoid unused imports such as 'com.bps'","Import Statement Rules","UnusedImports"
"116","com.bps.controller","src/com/bps/controller/AdminLoginController.java","4","15","Avoid unused imports such as 'com.bps.constants.ErrorConstants'","Import Statement Rules","UnusedImports"
"117","com.bps.controller","src/com/bps/controller/AdminLoginController.java","4","15","Avoid unused imports such as 'com.bps.constants.ErrorConstants'","Import Statement Rules","UnusedImports"
"118","com.bps.controller","src/com/bps/controller/AdminLoginController.java","4","17","Avoid unused imports such as 'com.bps.exceptions.DatabaseOperationException'","Import Statement Rules","UnusedImports"
"119","com.bps.controller","src/com/bps/controller/AdminLoginController.java","4","17","Avoid unused imports such as 'com.bps.exceptions.DatabaseOperationException'","Import Statement Rules","UnusedImports"
"120","com.bps.controller","src/com/bps/controller/AdminLoginController.java","3","35","Avoid unnecessary constructors - the compiler will generate these for you","Controversial Rules","UnnecessaryConstructor"
"121","com.bps.controller","src/com/bps/controller/AdminLoginController.java","3","43","Parameter 'request' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"122","com.bps.controller","src/com/bps/controller/AdminLoginController.java","3","43","Parameter 'response' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"123","com.bps.controller","src/com/bps/controller/AdminLoginController.java","5","45","Found 'DU'-anomaly for variable 'session' (lines '45'-'84').","Controversial Rules","DataflowAnomalyAnalysis"
"124","com.bps.controller","src/com/bps/controller/AdminLoginController.java","3","45","Local variable 'session' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"125","com.bps.controller","src/com/bps/controller/AdminLoginController.java","5","47","Found 'DU'-anomaly for variable 'loginbo' (lines '47'-'84').","Controversial Rules","DataflowAnomalyAnalysis"
"126","com.bps.controller","src/com/bps/controller/AdminLoginController.java","3","47","Local variable 'loginbo' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"127","com.bps.controller","src/com/bps/controller/AdminLoginController.java","3","51","Local variable 'user' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"128","com.bps.controller","src/com/bps/controller/AdminLoginController.java","3","52","Local variable 'pass' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"129","com.bps.controller","src/com/bps/controller/AdminLoginController.java","3","57","Avoid unused local variables such as 'adminto'.","Unused Code Rules","UnusedLocalVariable"
"130","com.bps.controller","src/com/bps/controller/AdminLoginController.java","5","57","Found 'DU'-anomaly for variable 'adminto' (lines '57'-'84').","Controversial Rules","DataflowAnomalyAnalysis"
"131","com.bps.controller","src/com/bps/controller/AdminLoginController.java","3","57","Local variable 'adminto' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"132","com.bps.controller","src/com/bps/controller/AdminLoginController.java","3","61","Avoid variables with short names like rd","Naming Rules","ShortVariable"
"133","com.bps.controller","src/com/bps/controller/AdminLoginController.java","3","65","Avoid empty if statements","Basic Rules","EmptyIfStmt"
"134","com.bps.controller","src/com/bps/controller/AdminLoginController.java","3","79","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"135","com.bps.controller","src/com/bps/controller/BillPaymentController.java","4","4","Avoid unused imports such as 'java.io.PrintWriter'","Import Statement Rules","UnusedImports"
"136","com.bps.controller","src/com/bps/controller/BillPaymentController.java","4","4","Avoid unused imports such as 'java.io.PrintWriter'","Import Statement Rules","UnusedImports"
"137","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","31","Avoid unnecessary constructors - the compiler will generate these for you","Controversial Rules","UnnecessaryConstructor"
"138","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","40","Parameter 'request' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"139","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","41","Parameter 'response' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"140","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","42","Local variable 'choice' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"141","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","46","Local variable 'bpBO' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"142","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","47","Local variable 'session' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"143","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","50","Local variable 'bpToList' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"144","com.bps.controller","src/com/bps/controller/BillPaymentController.java","2","52","System.out.print is used","Java Logging Rules","SystemPrintln"
"145","com.bps.controller","src/com/bps/controller/BillPaymentController.java","2","56","System.out.print is used","Java Logging Rules","SystemPrintln"
"146","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","58","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"147","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","61","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"148","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","66","Local variable 'venType' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"149","com.bps.controller","src/com/bps/controller/BillPaymentController.java","2","67","System.out.print is used","Java Logging Rules","SystemPrintln"
"150","com.bps.controller","src/com/bps/controller/BillPaymentController.java","2","72","System.out.print is used","Java Logging Rules","SystemPrintln"
"151","com.bps.controller","src/com/bps/controller/BillPaymentController.java","2","77","System.out.print is used","Java Logging Rules","SystemPrintln"
"152","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","79","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"153","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","91","Parameter 'request' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"154","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","92","Parameter 'response' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"155","com.bps.controller","src/com/bps/controller/BillPaymentController.java","5","98","Found 'DU'-anomaly for variable 'bpTO' (lines '98'-'188').","Controversial Rules","DataflowAnomalyAnalysis"
"156","com.bps.controller","src/com/bps/controller/BillPaymentController.java","5","104","Found 'DU'-anomaly for variable 'vendor_Type' (lines '104'-'188').","Controversial Rules","DataflowAnomalyAnalysis"
"157","com.bps.controller","src/com/bps/controller/BillPaymentController.java","5","105","Found 'DU'-anomaly for variable 'vendor_Name' (lines '105'-'188').","Controversial Rules","DataflowAnomalyAnalysis"
"158","com.bps.controller","src/com/bps/controller/BillPaymentController.java","5","108","Found 'DU'-anomaly for variable 'payment_Date' (lines '108'-'188').","Controversial Rules","DataflowAnomalyAnalysis"
"159","com.bps.controller","src/com/bps/controller/BillPaymentController.java","5","110","Found 'DU'-anomaly for variable 'amount_To_Payy' (lines '110'-'188').","Controversial Rules","DataflowAnomalyAnalysis"
"160","com.bps.controller","src/com/bps/controller/BillPaymentController.java","5","111","Found 'DU'-anomaly for variable 'pending_Amountt' (lines '111'-'188').","Controversial Rules","DataflowAnomalyAnalysis"
"161","com.bps.controller","src/com/bps/controller/BillPaymentController.java","5","112","Found 'DU'-anomaly for variable 'credit_Card_Type' (lines '112'-'188').","Controversial Rules","DataflowAnomalyAnalysis"
"162","com.bps.controller","src/com/bps/controller/BillPaymentController.java","5","113","Found 'DU'-anomaly for variable 'card_Number' (lines '113'-'188').","Controversial Rules","DataflowAnomalyAnalysis"
"163","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","114","Avoid excessively long variable names like confirm_Card_Number","Naming Rules","LongVariable"
"164","com.bps.controller","src/com/bps/controller/BillPaymentController.java","5","114","Found 'DU'-anomaly for variable 'confirm_Card_Number' (lines '114'-'188').","Controversial Rules","DataflowAnomalyAnalysis"
"165","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","116","Avoid excessively long variable names like credit_Card_ValidityMM","Naming Rules","LongVariable"
"166","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","117","Avoid excessively long variable names like creditCard_ValidityMM","Naming Rules","LongVariable"
"167","com.bps.controller","src/com/bps/controller/BillPaymentController.java","5","117","Found 'DU'-anomaly for variable 'creditCard_ValidityMM' (lines '117'-'188').","Controversial Rules","DataflowAnomalyAnalysis"
"168","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","119","Avoid excessively long variable names like credit_Card_ValidityYY","Naming Rules","LongVariable"
"169","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","120","Avoid excessively long variable names like creditCard_ValidityYY","Naming Rules","LongVariable"
"170","com.bps.controller","src/com/bps/controller/BillPaymentController.java","5","120","Found 'DU'-anomaly for variable 'creditCard_ValidityYY' (lines '120'-'188').","Controversial Rules","DataflowAnomalyAnalysis"
"171","com.bps.controller","src/com/bps/controller/BillPaymentController.java","5","123","Found 'DU'-anomaly for variable 'cVv' (lines '123'-'188').","Controversial Rules","DataflowAnomalyAnalysis"
"172","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","127","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"173","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","129","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"174","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","132","Deeply nested if..then statements are hard to read","Design Rules","AvoidDeeplyNestedIfStmts"
"175","com.bps.controller","src/com/bps/controller/BillPaymentController.java","3","132","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
